Date,Latitude,Longitude,Crop,Village,Acreage,Notes,Observer
2026-07-24,14.554582,75.483166,Maize,,2.5,age 65d; src maize_65days_2.5acre.jpeg,Field GPS upload
2026-07-24,14.576609,75.483494,Ginger,,3.0,src ginger_3acre.jpeg,Field GPS upload
2026-07-24,14.580173,75.488669,Ginger,,25.0,src ginger_25acre.jpeg,Field GPS upload
2026-07-24,14.523281,75.459229,Ginger,,,src ginger_01.jpeg,Field GPS upload
2026-07-24,14.462471,75.440274,Ginger,,20.1,src giner_20.1acre.jpeg,Field GPS upload
2026-07-24,14.478917,75.438781,Ginger,,20.0,src giner_20acre.jpeg,Field GPS upload
2026-07-24,14.451836,75.45819,Chilli,,,src chilli.jpeg,Field GPS upload
2026-07-24,13.719182,76.009911,Chilli,,5.0,age 0d; src chilli_0days_5acre.jpeg,Field GPS upload
2026-07-24,13.719179,76.011172,Chilli,,,age 0d; src chilli_0days.jpeg,Field GPS upload
2026-07-24,13.719331,76.00903,Chilli,,2.5,age 0d; src chilli_0days_2.5acre.jpeg,Field GPS upload
2026-07-24,13.721572,76.018962,Chilli,,3.5,age 0d; src chilli_0days_3.5acre.jpeg,Field GPS upload
2026-07-25,16.3781643,74.9098581,Turmeric,,1.2,,Field GPS upload
2026-07-25,16.3784261,74.9098142,Turmeric,,3.0,age 60d,Field GPS upload
2026-07-25,16.3781441,74.9049868,Turmeric,,4.0,age 45d,Field GPS upload
2026-07-25,16.3695391,74.9057478,Turmeric,,3.0,age 70d,Field GPS upload
2026-07-25,16.363171,74.904704,Turmeric,,1.0,age 60d,Field GPS upload
2026-07-25,16.3405933,74.9039117,Turmeric,,1.0,age 55d,Field GPS upload
2026-07-25,16.31668,74.911305,Turmeric,,1.0,age 50d,Field GPS upload
2026-07-25,16.2731783,74.877905,Turmeric,,2.0,age 65d,Field GPS upload
2026-07-25,16.2124649,74.8373937,Turmeric,,,,Field GPS upload
2026-04-13,11.242853,77.150604,Turmeric,Rudriampalayam (stated),,Coimbatore (TN); geo medium (Shared location pin); WhatsApp field report,Saravanan
2026-07-22,14.44004,75.412145,Maize,Dudihalli,2.5,age 63d; Post-tasselling / grain fill; Haveri; geo high (Photo GPS overlay); WhatsApp field report,Girish Baydege Ginger
2026-07-22,14.440043,75.412139,Maize,Dudihalli,4.0,"age 65d; Vegetative, chest-high (pre-tassel); Haveri; geo medium (Photo GPS overlay); WhatsApp field report",Girish Baydege Ginger
2026-07-22,14.441992,75.44238,Maize,Hosahalli,6.5,age 68d; Tasselling / early silking; Haveri; geo high (Photo GPS overlay); WhatsApp field report,Girish Baydege Ginger
2026-07-24,16.378164,74.909858,Turmeric,,1.2,"Early vegetative, 2-4 leaves; leaf blight/scorch visible; Belagavi - approx; geo medium (Shared location pin); WhatsApp field report",Sunil Or Hr
2026-07-24,13.719331,76.00903,Fallow,Chikkamagaluru,2.5,"Pre-sowing, freshly ploughed; Chikkamagaluru; geo high (Photo GPS overlay); WhatsApp field report",Girish Baydege Ginger
2026-07-24,16.340593,74.903912,Turmeric,,1.0,"age 60d; Mid-vegetative, canopy nearly closed; Belagavi - approx; geo high (Shared location pin); WhatsApp field report",Sunil Or Hr
2026-07-24,16.31668,74.911305,Turmeric + Maize (intercrop),,1.0,age 55d; Turmeric 4-6 leaves; maize at whorl; Belagavi - approx; geo high (Shared location pin); WhatsApp field report,Sunil Or Hr
2026-07-24,16.273178,74.877905,Turmeric,,1.0,"age 50d; Early vegetative, 3-5 leaves on drip ridges; Belagavi - approx; geo high (Shared location pin); WhatsApp field report",Sunil Or Hr
2026-07-24,13.722515,76.019339,Maize,Chikkamagaluru,1.5,"Emergence, 2-3 leaf, very sparse; Chikkamagaluru; geo medium (Photo GPS overlay); WhatsApp field report",Girish Baydege Ginger
2026-07-24,16.212465,74.837394,Turmeric + Maize (intercrop),,2.0,age 65d; Turmeric 2-4 leaves; maize tasselling; Belagavi - approx; geo high (Shared location pin); WhatsApp field report,Sunil Or Hr
2026-07-27,14.930704,75.237514,Chilli,Narayanapura,,Flowering / early fruit set; Haveri; geo high (Photo GPS overlay); WhatsApp field report,Girish Baydege Ginger
2026-07-29,16.489167,74.88897,Turmeric + Maize (intercrop),,1.0,"age 64d; Turmeric 5-7 leaves, tillering; maize whorl/pre-tassel; Belagavi - approx; geo high (Shared location pin); WhatsApp field report",Sunil Or Hr
2026-07-29,16.489167,74.88897,Turmeric + Maize (intercrop),,1.0,age 64d; Turmeric vegetative 45-60 cm; maize pre-tassel; Belagavi - approx; geo medium (Shared location pin (shared)); WhatsApp field report,Sunil Or Hr
2026-07-29,16.504222,74.869948,Turmeric + Maize (intercrop),,1.0,age 67d; Turmeric 60-75 cm; maize tasselling/silking; Belagavi - approx; geo high (Shared location pin); WhatsApp field report,Sunil Or Hr
2026-07-29,16.49133,74.875593,Turmeric + Maize (intercrop),,0.5,"age 67d; Turmeric mid-vegetative, canopy closing; maize tasselling; Belagavi - approx; geo high (Shared location pin); WhatsApp field report",Sunil Or Hr
